Time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
0.0,-0.083,0.124,9.051,19.075,90,12.36,39.98
0.06,-0.079,0.145,9.049,19.088,90,12.36,40.0
0.13,-0.086,0.166,9.046,19.1,90,12.36,39.97
0.19,-0.045,0.207,9.045,19.102,90,12.36,39.87
0.26,-0.109,0.124,9.041,19.102,90,12.36,39.75
0.32,0.077,0.394,9.039,19.105,90,12.36,39.73
0.39,0.003,0.228,9.036,19.105,90,12.36,39.8
0.45,-0.008,0.166,9.035,19.1,90,12.36,39.85
0.52,0.142,0.186,9.034,19.095,90,12.36,39.87
0.58,0.207,0.186,9.031,19.09,90,12.36,39.86
0.65,-0.059,0.228,9.031,19.103,90,12.36,39.88
0.71,-0.072,0.207,9.031,19.129,90,12.36,39.9
0.77,-0.074,0.186,9.029,19.141,90,12.36,39.9
0.84,-0.074,0.186,9.026,19.15,90,12.36,39.81
0.9,-0.045,0.249,9.024,19.154,90,12.36,39.65
0.97,-0.12,0.124,9.022,19.154,90,12.36,39.62
1.03,0.201,0.331,9.021,19.154,90,12.36,39.68
1.1,-0.053,0.166,9.019,19.152,90,12.36,39.75
1.16,0.057,0.249,9.017,19.152,90,12.37,39.75
1.23,0.244,0.186,9.015,19.148,90,12.36,39.74
1.29,0.081,0.228,9.014,19.145,90,12.36,39.75
1.35,-0.062,0.166,9.012,19.144,88,12.36,39.77
1.42,-0.053,0.145,9.011,19.144,88,12.36,39.78
1.48,-0.072,0.186,9.009,19.143,88,12.36,39.8
1.55,-0.055,0.124,9.009,19.14,88,12.36,39.68
1.61,-0.058,0.186,9.007,19.135,88,12.36,39.55
1.68,-0.124,0.186,9.005,19.134,88,12.36,39.55
1.74,0.169,0.331,9.003,19.135,88,12.36,39.71
1.81,-0.007,0.186,9.002,19.137,88,12.36,39.75
1.87,0.098,0.207,8.999,19.137,88,12.36,39.74
1.94,0.255,0.207,8.997,19.141,88,12.36,39.73
2.0,0.021,0.249,8.995,19.147,88,12.36,39.75
2.06,-0.055,0.186,8.994,19.143,86,12.36,39.82
2.13,-0.056,0.124,8.992,19.14,86,12.36,39.89
2.19,-0.074,0.207,8.99,19.135,86,12.36,40.04
2.26,-0.037,0.207,8.989,19.13,86,12.36,40.03
2.32,-0.079,0.186,8.989,19.125,86,12.36,40.02
2.39,0.072,0.269,8.988,19.12,86,12.36,39.91
2.45,-0.018,0.249,8.987,19.115,86,12.36,39.67
2.52,0.025,0.186,8.987,19.106,86,12.36,39.34
2.58,0.164,0.186,8.984,19.095,86,12.36,39.05
2.65,0.216,0.145,8.984,19.084,86,12.36,38.76
2.71,-0.017,0.166,8.982,19.071,86,12.36,38.44
2.77,-0.036,0.186,8.982,19.066,86,12.36,38.1
2.84,-0.042,0.186,8.982,19.058,86,12.36,37.81
2.9,-0.057,0.145,8.979,19.052,86,12.36,37.5
2.97,-0.017,0.186,8.978,19.042,86,12.36,37.08
3.03,-0.074,0.186,8.977,19.034,86,12.36,36.77
3.1,0.175,0.331,8.977,19.026,86,12.36,36.6
3.16,-0.103,0.228,8.974,19.028,86,12.36,36.42
3.23,0.046,0.145,8.973,19.03,86,12.36,36.21
3.29,0.197,0.186,8.972,19.026,86,12.36,35.99
3.35,0.197,0.124,8.97,19.022,86,12.36,35.75
3.42,-0.022,0.186,8.969,19.018,86,12.36,35.56
3.48,-0.043,0.166,8.968,19.015,85,12.36,35.37
3.55,-0.05,0.145,8.967,19.011,85,12.36,35.25
3.61,-0.049,0.186,8.964,19.004,85,12.36,35.06
3.68,-0.034,0.145,8.964,18.998,85,12.36,34.77
3.74,-0.103,0.145,8.962,18.991,85,12.36,34.61
3.81,0.136,0.269,8.958,18.981,85,12.36,34.49
3.87,-0.006,0.186,8.958,18.981,85,12.36,34.49
3.94,0.097,0.186,8.957,18.975,85,12.36,34.4
4.0,0.243,0.207,8.955,18.969,85,12.36,34.3
4.06,0.03,0.207,8.954,18.964,85,12.36,34.27
4.13,-0.055,0.124,8.952,18.957,88,12.36,34.3
4.19,-0.055,0.249,8.952,18.951,88,12.36,34.3
4.26,-0.063,0.186,8.949,18.946,88,12.36,34.3
4.32,-0.044,0.186,8.949,18.944,88,12.36,34.2
4.39,-0.124,0.249,8.947,18.939,88,12.36,34.18
4.45,0.128,0.331,8.947,18.938,88,12.36,34.31
4.52,-0.049,0.166,8.945,18.94,88,12.36,34.57
4.58,0.053,0.166,8.944,18.95,88,12.36,34.82
4.65,0.205,0.228,8.942,18.944,88,12.36,35.12
4.71,0.013,0.166,8.942,18.939,88,12.36,35.57
4.77,-0.1,0.186,8.939,18.934,93,12.36,35.99
4.84,-0.098,0.145,8.939,18.93,93,12.37,36.38
4.9,-0.073,0.186,8.939,18.928,93,12.34,36.76
4.97,0.095,0.269,8.937,18.925,93,12.26,37.02
5.03,0.083,0.352,8.935,18.923,93,12.25,37.34
5.1,-0.178,0.228,8.934,18.921,93,12.26,37.72
5.16,-0.03,0.186,8.934,18.916,109,12.26,38.05
5.23,0.12,0.166,8.937,18.914,109,12.27,38.27
5.29,0.117,0.145,8.93,18.906,109,12.26,38.54
5.35,-0.092,0.166,8.93,18.906,109,12.26,38.54
5.42,-0.097,0.145,8.928,18.905,109,12.26,38.55
5.48,-0.067,0.207,8.924,18.903,109,12.26,38.47
5.55,-0.082,0.228,8.924,18.903,109,12.26,38.21
5.61,-0.125,0.145,8.922,18.905,109,12.25,37.88
5.68,0.121,0.331,8.921,18.906,109,12.25,37.65
5.74,-0.029,0.186,8.92,18.914,109,12.23,37.47
5.81,0.092,0.186,8.917,18.928,109,12.25,37.3
5.87,0.208,0.186,8.916,18.945,109,12.26,37.08
5.94,-0.033,0.124,8.915,18.949,109,12.27,36.87
6.0,-0.078,0.145,8.913,18.954,89,12.26,36.65
6.06,-0.065,0.145,8.912,18.956,89,12.27,36.4
6.13,-0.038,0.249,8.911,18.961,89,12.25,36.17
6.19,-0.113,0.166,8.91,18.964,89,12.25,35.83
6.26,0.176,0.373,8.908,18.965,89,12.25,35.57
6.32,-0.013,0.228,8.907,18.968,89,12.25,35.39
6.39,0.064,0.186,8.906,18.968,89,12.25,35.29
6.45,0.21,0.145,8.906,18.968,89,12.25,35.17
6.52,0.086,0.249,8.905,18.968,89,12.25,35.03
6.58,-0.083,0.207,8.905,18.966,99,12.26,34.93
6.65,-0.074,0.145,8.902,18.968,99,12.27,34.75
6.71,-0.064,0.124,8.902,18.968,99,12.27,34.74
6.77,-0.059,0.166,8.902,18.97,99,12.26,34.57
6.84,-0.139,0.166,8.902,18.962,99,12.26,34.37
6.9,0.187,0.311,8.902,18.955,99,12.26,34.27
6.97,-0.044,0.166,8.9,18.945,99,12.26,34.26
7.03,0.055,0.186,8.9,18.935,99,12.25,34.25
7.1,0.224,0.104,8.9,18.925,99,12.25,34.21
7.16,0.005,0.104,8.898,18.915,99,12.23,34.19
7.23,-0.085,0.166,8.897,18.906,95,12.27,34.2
7.29,-0.078,0.207,8.896,18.9,95,12.29,34.19
7.35,-0.092,0.186,8.895,18.893,95,12.29,34.2
7.42,-0.106,0.228,8.895,18.887,95,12.28,34.1
7.48,-0.064,0.166,8.892,18.879,95,12.28,34.0
7.55,-0.103,0.166,8.892,18.874,95,12.27,34.0
7.61,0.046,0.373,8.892,18.867,95,12.29,34.07
7.68,-0.009,0.249,8.892,18.862,95,12.31,34.11
7.74,-0.011,0.145,8.89,18.855,95,12.31,34.11
7.81,0.129,0.228,8.89,18.849,95,12.29,34.16
