Time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
0.0,-0.055,0.293,7.3,6.527,70,11.59,51.02
0.06,0.007,0.321,7.297,6.522,70,11.57,51.01
0.13,-0.068,0.35,7.295,6.518,70,11.57,50.99
0.19,0.046,0.246,7.291,6.514,70,11.57,50.94
0.26,0.231,0.363,7.287,6.511,70,11.57,50.9
0.32,0.046,0.357,7.284,6.509,70,11.57,50.88
0.39,0.13,0.228,7.28,6.504,70,11.57,50.85
0.45,0.338,0.163,7.277,6.499,70,11.57,50.81
0.52,0.335,0.357,7.275,6.494,70,11.57,50.77
0.58,0.015,0.311,7.27,6.489,70,11.57,50.71
0.65,-0.009,0.401,7.267,6.486,69,11.57,50.66
0.71,0.003,0.344,7.264,6.482,69,11.57,50.56
0.77,-0.016,0.277,7.261,6.481,68,11.57,50.44
0.84,-0.027,0.324,7.259,6.479,68,11.57,50.41
0.9,-0.047,0.316,7.255,6.477,67,11.57,50.4
0.97,-0.046,0.293,7.254,6.474,66,11.57,50.39
1.03,-0.096,0.249,7.251,6.476,66,11.57,50.36
1.1,-0.126,0.246,7.249,6.476,65,11.57,50.36
1.16,0.236,0.285,7.249,6.474,65,11.57,50.41
1.23,-0.119,0.36,7.247,6.473,64,11.57,50.52
1.29,-0.054,0.308,7.246,6.471,64,11.57,50.64
1.35,0.028,0.228,7.246,6.472,63,11.57,50.89
1.42,0.225,0.3135,7.246,6.473,63,11.57,50.91
1.48,0.072,0.399,7.246,6.473,63,11.57,51.02
1.55,-0.185,0.318,7.246,6.474,63,11.57,51.14
1.61,-0.197,0.251,7.249,6.476,63,11.57,51.23
1.68,-0.194,0.272,7.249,6.477,63,11.57,51.27
1.74,-0.215,0.168,7.251,6.478,63,11.57,51.38
1.81,-0.21,0.168,7.251,6.478,63,11.57,51.51
1.87,-0.144,0.22100000000000003,7.252,6.478,63,11.57,51.67
1.94,-0.226,0.274,7.254,6.474,63,11.57,51.88
2.0,-0.216,0.163,7.254,6.464,63,11.57,51.99
2.06,0.186,0.295,7.254,6.454,63,11.57,52.06
2.13,-0.12,0.342,7.255,6.446,63,11.57,52.08
2.19,-0.026,0.277,7.255,6.435,63,11.57,52.02
2.26,0.142,0.197,7.254,6.434,69,11.57,51.98
2.32,0.208,0.318,7.254,6.426,69,11.57,51.92
2.39,-0.109,0.368,7.254,6.42,69,11.57,51.83
2.45,-0.138,0.329,7.254,6.412,69,11.57,51.77
2.52,-0.118,0.324,7.254,6.41,69,11.57,51.7
2.58,-0.116,0.303,7.251,6.406,69,11.56,51.59
2.65,-0.109,0.282,7.251,6.402,69,11.56,51.51
2.71,-0.099,0.347,7.249,6.4,69,11.56,51.44
2.77,-0.033,0.29,7.247,6.41,69,11.56,51.38
2.84,-0.099,0.383,7.246,6.42,69,11.56,51.32
2.9,-0.07,0.365,7.245,6.417,69,11.56,51.24
2.97,0.272,0.303,7.244,6.407,69,11.56,51.15
3.03,0.005,0.352,7.24,6.396,69,11.57,51.05
3.1,0.096,0.256,7.239,6.377,69,11.57,50.96
3.16,0.277,0.119,7.235,6.365,69,11.57,50.86
3.23,0.344,0.308,7.233,6.358,69,11.57,50.82
3.29,0.009,0.37,7.23,6.355,69,11.56,50.75
3.35,-0.033,0.329,7.228,6.361,66,11.56,50.75
3.42,-0.026,0.388,7.225,6.365,66,11.56,50.7
3.48,-0.034,0.171,7.222,6.372,66,11.56,50.56
3.55,-0.047,0.163,7.218,6.377,66,11.56,50.52
3.61,-0.06,0.225,7.215,6.381,66,11.56,50.5
3.68,0.001,0.298,7.212,6.393,66,11.56,50.48
3.74,-0.05,0.347,7.208,6.401,66,11.55,50.47
3.81,-0.069,0.399,7.202,6.424,66,11.55,50.46
3.87,0.296,0.295,7.203,6.425,66,11.55,50.46
3.94,0.001,0.383,7.2,6.436,66,11.55,50.45
4.0,0.176,0.37496296296296294,7.199,6.451,66,11.55,50.46
4.06,0.253,0.360037037037037,7.199,6.469,66,11.55,50.46
4.13,0.374,0.352,7.199,6.477,66,11.55,50.45
4.19,0.027,0.357,7.2,6.479,66,11.55,50.45
4.26,-0.098,0.308,7.203,6.475,65,11.55,50.43
4.32,-0.104,0.313,7.214,6.477,65,11.55,50.5
4.39,-0.123,0.228,7.215,6.478,65,11.55,50.51
4.45,-0.147,0.163,7.22,6.499,65,11.55,50.63
4.52,-0.153,0.161,7.229,6.52,65,11.55,50.77
4.58,-0.147,0.20500000000000002,7.239,6.545,65,11.55,50.88
4.65,-0.13,0.249,7.248,6.564,65,11.55,51.02
4.71,-0.195,0.238,7.258,6.569,65,11.55,51.15
4.77,0.214,0.205,7.268,6.574,65,11.55,51.26
4.84,-0.184,0.334,7.281,6.577,65,11.55,51.36
4.9,-0.067,0.2964074074074074,7.291,6.591,65,11.55,51.56
4.97,0.042,0.22659259259259262,7.301,6.606,64,11.55,51.81
5.03,0.238,0.189,7.311,6.623,64,11.55,51.99
5.1,0.048,0.316,7.321,6.638,64,11.55,52.1
5.16,-0.153,0.368,7.327,6.649,64,11.55,52.18
5.23,-0.132,0.119,7.335,6.659,64,11.55,52.26
5.29,-0.139,0.116,7.342,6.672,64,11.55,52.25
5.35,-0.141,0.363,7.349,6.679,64,11.55,52.24
5.42,-0.149,0.36,7.354,6.689,64,11.55,52.2
5.48,-0.073,0.313,7.359,6.692,64,11.55,52.15
5.55,-0.156,0.308,7.367,6.696,64,11.55,52.05
5.61,-0.137,0.3,7.368,6.697,64,11.55,52.04
5.68,0.234,0.326,7.371,6.703,64,11.55,51.98
5.74,-0.041,0.277,7.373,6.708,64,11.55,51.96
5.81,0.047,0.205,7.376,6.707,64,11.55,51.95
5.87,0.229,0.352,7.376,6.705,64,11.55,51.9
5.94,0.203,0.36,7.378,6.701,64,11.55,51.86
6.0,-0.043,0.363,7.378,6.697,64,11.55,51.83
6.06,-0.071,0.381,7.378,6.701,69,11.55,51.79
6.13,-0.058,0.365,7.378,6.706,69,11.55,51.68
6.19,-0.067,0.368,7.374,6.706,69,11.55,51.44
6.26,-0.067,0.277,7.372,6.705,69,11.55,51.43
6.32,-0.076,0.383,7.369,6.705,69,11.55,51.35
6.39,-0.007,0.29,7.366,6.703,69,11.55,51.27
6.45,-0.08,0.324,7.362,6.702,69,11.55,51.21
6.52,-0.096,0.396,7.357,6.7,69,11.55,51.13
6.58,0.276,0.303,7.353,6.697,69,11.55,51.04
6.65,-0.005,0.373,7.348,6.695,69,11.56,50.96
6.71,0.067,0.274,7.342,6.693,69,11.55,50.91
6.77,0.24,0.127,7.337,6.687,69,11.55,50.88
6.84,0.349,0.347,7.331,6.679,69,11.55,50.82
6.9,0.013,0.36,7.325,6.673,69,11.55,50.73
6.97,-0.065,0.391,7.318,6.671,65,11.57,50.7
7.03,-0.054,0.29,7.312,6.672,65,11.6,50.59
7.1,-0.06,0.352,7.307,6.669,65,11.6,50.42
7.16,-0.086,0.288,7.3,6.659,65,11.6,50.36
7.23,-0.081,0.22,7.295,6.65,65,11.61,50.32
7.29,-0.081,0.202,7.291,6.633,65,11.61,50.29
7.35,-0.093,0.277,7.287,6.632,65,11.62,50.26
7.42,-0.11,0.274,7.286,6.647,65,11.62,50.21
7.48,0.08,0.251,7.289,6.679,65,11.62,50.17
7.55,0.06,0.355,7.292,6.682,65,11.62,50.16
7.61,-0.038,0.37,7.3,6.683,65,11.62,50.16
7.68,0.053,0.254,7.324,6.711,65,11.62,50.18
7.74,0.234,0.228,7.325,6.713,65,11.62,50.19
7.81,0.164,0.324,7.341,6.733,65,11.62,50.26
7.87,-0.143,0.313,7.361,6.756,63,11.62,50.38
7.94,-0.166,0.244,7.384,6.792,63,11.62,50.52
8.0,-0.17,0.23,7.41,6.822,63,11.64,50.61
8.06,-0.183,0.308,7.439,6.846,63,11.62,50.71
8.13,-0.19,0.174,7.469,6.864,63,11.62,50.84
8.19,-0.179,0.228,7.5,6.882,63,11.62,50.99
8.26,-0.159,0.329,7.531,6.904,63,11.62,51.14
8.32,-0.223,0.168,7.563,6.937,63,11.62,51.27
8.39,0.202,0.23,7.598,6.985,63,11.64,51.4
8.45,-0.212,0.306,7.63,7.031,63,11.62,51.57
8.52,-0.082,0.21,7.663,7.069,63,11.62,51.76
8.58,0.02,0.256,7.693,7.087,67,11.62,51.9
8.65,0.221,0.122,7.726,7.113,67,11.62,52.05
8.71,0.048,0.37,7.755,7.151,67,11.62,52.2
8.77,-0.148,0.303,7.78,7.173,67,11.64,52.28
8.84,-0.155,0.205,7.804,7.203,67,11.64,52.28
8.9,-0.156,0.116,7.828,7.234,67,11.64,52.19
8.97,-0.159,0.277,7.849,7.263,67,11.62,52.12
9.03,-0.153,0.37,7.869,7.291,67,11.62,52.08
9.1,-0.163,0.29,7.888,7.315,67,11.64,52.0
9.16,-0.172,0.29,7.904,7.332,67,11.64,51.91
9.23,-0.154,0.342,7.917,7.342,67,11.64,51.81
9.29,0.218,0.339,7.93,7.343,67,11.62,51.72
9.35,-0.053,0.324,7.937,7.345,67,11.62,51.64
9.42,0.03,0.316,7.948,7.367,67,11.64,51.48
9.48,0.199,0.199,7.948,7.369,67,11.64,51.46
9.55,0.273,0.285,7.95,7.374,67,11.64,51.45
9.61,-0.056,0.357,7.948,7.382,67,11.64,51.41
9.68,-0.078,0.344,7.948,7.387,69,11.62,51.36
9.74,-0.061,0.311,7.944,7.391,69,11.62,51.24
9.81,-0.083,0.251,7.939,7.399,69,11.62,51.1
9.87,-0.078,0.256,7.931,7.409,69,11.62,51.01
9.94,-0.079,0.205,7.922,7.417,69,11.62,50.95
10.0,-0.007,0.171,7.912,7.424,69,11.62,50.9
10.06,-0.079,0.249,7.9,7.431,69,11.62,50.86
10.13,-0.085,0.378,7.889,7.434,69,11.62,50.81
10.19,0.271,0.303,7.876,7.429,69,11.62,50.76
10.26,0.005,0.269,7.861,7.425,69,11.62,50.72
10.32,0.083,0.35,7.849,7.422,69,11.62,50.7
10.39,0.258,0.122,7.834,7.421,69,11.62,50.65
10.45,0.35,0.223,7.819,7.417,69,11.62,50.64
10.52,0.004,0.381,7.804,7.409,69,11.62,50.61
10.58,-0.045,0.308,7.792,7.397,65,11.64,50.58
10.65,-0.049,0.3,7.777,7.382,65,11.64,50.5
10.71,-0.058,0.3,7.762,7.368,65,11.64,50.41
10.77,-0.07,0.233,7.75,7.354,65,11.64,50.38
10.84,-0.074,0.329,7.735,7.339,65,11.64,50.36
10.9,-0.045,0.313,7.721,7.325,65,11.64,50.36
10.97,-0.015,0.256,7.695,7.296,65,11.62,50.34
11.03,-0.084,0.295,7.693,7.295,65,11.62,50.34
11.1,0.149,0.269,7.681,7.281,65,11.62,50.34
11.16,0.062,0.376,7.668,7.265,65,11.62,50.34
11.23,0.022,0.339,7.655,7.249,65,11.62,50.34
11.29,0.11,0.259,7.643,7.23,65,11.62,50.33
11.35,0.293,0.168,7.631,7.212,65,11.62,50.34
11.42,0.201,0.339,7.619,7.198,65,11.62,50.32
11.48,-0.093,0.251,7.609,7.183,63,11.62,50.33
11.55,-0.112,0.244,7.598,7.168,63,11.62,50.39
11.61,-0.124,0.298,7.587,7.154,63,11.62,50.47
11.68,-0.132,0.274,7.577,7.139,63,11.62,50.57
11.74,-0.158,0.249,7.567,7.127,63,11.62,50.7
11.81,-0.157,0.199,7.557,7.113,63,11.62,50.83
11.87,-0.105,0.311,7.547,7.098,63,11.62,50.98
11.94,-0.184,0.199,7.537,7.087,63,11.62,51.11
12.0,-0.04,0.225,7.529,7.073,63,11.62,51.22
12.06,0.065,0.339,7.519,7.062,63,11.62,51.35
12.13,-0.087,0.272,7.511,7.05,63,11.62,51.5
12.19,-0.006,0.23,7.502,7.036,65,11.62,51.67
12.26,0.186,0.26454494382022475,7.495,7.024,65,11.62,51.82
12.32,0.133,0.318,7.487,7.009,65,11.62,51.95
12.39,-0.149,0.352,7.479,6.997,65,11.62,52.06
12.45,-0.161,0.122,7.471,6.986,65,11.62,52.15
12.52,-0.159,0.122,7.464,6.975,65,11.62,52.16
12.58,-0.152,0.277,7.456,6.965,65,11.62,52.15
12.65,-0.18,0.225,7.447,6.953,65,11.62,52.15
12.71,-0.101,0.241,7.44,6.943,65,11.62,52.12
12.77,-0.152,0.344,7.427,6.922,65,11.62,52.08
12.84,-0.187,0.401,7.426,6.919,65,11.62,52.08
12.9,-0.026,0.373,7.422,6.906,65,11.62,52.03
12.97,-0.06,0.373,7.414,6.885,65,11.62,51.94
13.03,0.003,0.29,7.408,6.87,65,11.62,51.87
13.1,0.18,0.233,7.402,6.862,65,11.64,51.8
13.16,0.289,0.244,7.395,6.85,65,11.65,51.75
13.23,-0.044,0.352,7.384,6.813,65,11.65,51.61
13.29,-0.094,0.251,7.383,6.811,65,11.65,51.6
13.35,-0.07,0.285,7.377,6.796,53,11.65,51.42
13.42,-0.072,0.347,7.372,6.781,53,11.65,51.21
