Time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
0.0,0.117,0.355,6.39,5.293,59,,48.77
0.06,-0.139,0.306,6.386,5.291,56,,48.7
0.13,-0.142,0.373,6.385,5.288,56,,48.58
0.19,-0.143,0.376,6.381,5.285,56,,48.39
0.26,-0.152,0.23,6.379,5.283,56,,48.27
0.32,-0.155,0.166,6.376,5.28,56,,48.2
0.39,-0.156,0.363,6.375,5.278,56,,48.15
0.45,-0.155,0.272,6.37,5.273,56,,48.19
0.52,-0.148,0.254,6.369,5.271,56,,48.19
0.58,-0.096,0.119,6.366,5.269,56,,48.12
0.65,-0.153,0.161,6.364,5.266,56,,48.14
0.71,-0.141,0.373,6.362,5.264,56,,48.19
0.77,0.2,0.28,6.36,5.26,56,,48.15
0.84,-0.06,0.197,6.357,5.259,56,,48.15
0.9,0.015,0.199,6.354,5.256,56,,48.19
0.97,0.153,0.228,6.353,5.253,56,,48.21
1.03,0.223,0.199,6.35,5.251,56,,48.19
1.1,-0.093,0.228,6.348,5.248,56,,48.18
1.16,-0.143,0.163,6.344,5.245,56,,48.21
1.23,-0.133,0.228,6.343,5.243,56,,48.18
1.29,-0.142,0.161,6.34,5.24,56,,48.03
1.35,-0.148,0.228,6.338,5.238,56,,47.99
1.42,-0.15,0.329,6.335,5.235,56,,48.01
1.48,-0.151,0.225,6.333,5.233,56,,48.01
1.55,-0.146,0.228,6.33,5.229,56,,48.04
1.61,-0.094,0.274,6.328,5.228,56,,48.07
1.68,-0.14,0.228,6.325,5.224,56,,48.08
1.74,-0.144,0.329,6.323,5.223,56,,48.13
1.81,0.217,0.368,6.319,5.219,56,,48.28
1.87,-0.054,0.295,6.318,5.216,56,,48.53
1.94,0.018,0.116,6.315,5.214,56,,48.72
2.0,0.16,0.1970981308411215,6.313,5.213,56,,48.94
2.06,0.253,0.311,6.31,5.211,56,,49.17
2.13,-0.065,0.363,6.308,5.207,56,,49.38
2.19,-0.128,0.228,6.304,5.206,57,,49.59
2.26,-0.119,0.116,6.303,5.203,57,,49.77
2.32,-0.121,0.274,6.3,5.201,57,,49.91
2.39,-0.12,0.313,6.299,5.197,57,,50.08
2.45,-0.116,0.295,6.295,5.196,57,,50.23
2.52,-0.079,0.228,6.294,5.192,57,,50.4
2.58,-0.089,0.254,6.29,5.189,57,,50.57
2.65,-0.118,0.22,6.289,5.187,57,,50.6
2.71,0.283,0.293,6.285,5.184,57,,50.63
2.77,-0.111,0.298,6.284,5.182,57,,50.69
2.84,0.001,0.2305,6.282,5.181,57,,50.67
2.9,0.114,0.163,6.279,5.178,57,,50.59
2.97,0.265,0.225,6.277,5.174,57,,50.49
3.03,0.018,0.368,6.274,5.173,57,,50.39
3.1,-0.13,0.23,6.272,5.171,65,,50.24
3.16,-0.124,0.347,6.27,5.168,65,,50.04
3.23,-0.13,0.407,6.267,5.166,65,,49.82
3.29,-0.139,0.386,6.265,5.163,65,,49.59
3.35,-0.141,0.313,6.262,5.161,65,,49.41
3.42,-0.109,0.27060906040268456,6.26,5.158,65,,49.27
3.48,-0.104,0.251,6.257,5.156,65,,49.17
3.55,-0.15,0.332,6.255,5.153,65,,49.06
3.61,0.288,0.249,6.253,5.152,65,,48.93
3.68,-0.147,0.332,6.251,5.149,65,,48.82
3.74,-0.014,0.251,6.248,5.147,65,,48.73
3.81,0.099,0.163,6.246,5.146,65,,48.68
3.87,0.034,0.272,6.245,5.142,65,,48.62
3.94,-0.044,0.272,6.242,5.141,65,,48.55
4.0,-0.135,0.272,6.24,5.138,65,,48.48
4.06,-0.126,0.36,6.237,5.136,65,,48.44
