Time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
0.0,-0.094,0.704,5.469,16.545,81,10.01,37.03
0.06,-0.089,0.642,5.47,16.564,81,10.01,36.86
0.13,-0.107,0.331,5.469,16.581,81,10.0,36.67
0.19,-0.097,0.684,5.469,16.593,81,10.0,36.38
0.26,-0.073,0.435,5.469,16.607,81,10.0,36.28
0.32,-0.149,0.642,5.469,16.62,81,10.0,36.24
0.39,0.117,0.539,5.469,16.628,81,10.0,36.29
0.45,-0.057,0.249,5.467,16.631,81,10.0,36.24
0.52,0.034,0.663,5.467,16.631,81,10.0,36.22
0.58,0.216,0.311,5.467,16.633,81,10.01,36.2
0.65,0.012,0.787,5.464,16.636,81,10.01,36.24
0.71,-0.106,0.601,5.464,16.636,82,10.01,36.3
0.77,-0.097,0.414,5.464,16.632,82,10.01,36.23
0.84,-0.117,0.58,5.463,16.624,82,10.01,36.22
0.9,-0.133,0.539,5.462,16.614,82,10.01,36.12
0.97,-0.129,0.58,5.462,16.603,82,10.01,36.07
1.03,-0.089,0.559,5.462,16.593,82,10.01,36.08
1.1,-0.164,0.539,5.46,16.591,82,10.01,36.19
1.16,0.084,0.373,5.459,16.599,82,10.01,36.28
1.23,-0.113,0.622,5.459,16.614,82,10.01,36.41
1.29,-0.017,0.373,5.459,16.62,82,10.0,36.57
1.35,0.152,0.725,5.458,16.626,82,10.0,36.73
1.42,0.023,0.394,5.457,16.626,82,10.0,36.9
1.48,-0.145,0.622,5.457,16.626,76,10.0,37.08
1.55,-0.144,0.456,5.457,16.624,76,10.0,37.26
1.61,-0.16,0.601,5.455,16.622,76,10.01,37.45
1.68,-0.181,0.352,5.454,16.619,76,10.02,37.5
1.74,-0.131,0.559,5.454,16.618,76,10.04,37.61
1.81,-0.183,0.414,5.454,16.617,76,10.04,37.83
1.87,0.088,0.601,5.452,16.614,76,10.05,38.1
1.94,-0.208,0.249,5.452,16.613,76,10.05,38.28
2.0,-0.057,0.746,5.452,16.613,76,10.04,38.42
2.06,0.098,0.352,5.452,16.614,76,10.04,38.56
2.13,0.125,0.663,5.449,16.614,76,10.05,38.64
2.19,-0.111,0.166,5.449,16.612,82,10.05,38.71
2.26,-0.117,0.539,5.449,16.608,82,10.05,38.68
2.32,-0.113,0.414,5.449,16.604,82,10.04,38.61
2.39,-0.127,0.642,5.447,16.599,82,10.04,38.39
2.45,-0.082,0.414,5.447,16.598,82,10.04,38.14
2.52,-0.116,0.601,5.447,16.597,82,10.04,38.03
2.58,0.087,0.622,5.447,16.596,82,10.04,37.95
2.65,-0.087,0.539,5.444,16.597,82,10.04,37.85
2.71,-0.016,0.684,5.444,16.595,82,10.04,37.66
2.77,0.13,0.663,5.444,16.587,82,10.04,37.53
