Time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
0.0,0.14,0.249,1.937,4.003,78,11.38,35.5
0.06,-0.037,0.228,1.937,4.002,78,11.38,35.51
0.13,-0.043,0.228,1.934,4.001,78,11.38,35.49
0.19,-0.035,0.249,1.934,4.0,78,11.38,35.46
0.26,-0.046,0.249,1.934,3.997,78,11.38,35.35
0.32,-0.063,0.228,1.934,3.997,78,11.38,35.34
0.39,-0.076,0.228,1.934,3.995,78,11.38,35.38
0.45,-0.066,0.352,1.932,3.995,78,11.38,35.4
0.52,0.224,0.767,1.932,3.992,78,11.38,35.44
0.58,-0.042,0.249,1.933,3.991,78,11.38,35.45
0.65,-0.009,0.228,1.932,3.99,78,11.38,35.54
0.71,0.119,0.249,1.93,3.99,76,11.38,35.54
0.77,0.117,0.249,1.929,3.988,76,11.38,35.62
0.84,-0.032,0.269,1.929,3.987,76,11.38,35.72
0.9,-0.053,0.228,1.929,3.987,76,11.38,35.82
0.97,-0.044,0.269,1.928,3.985,76,11.38,35.87
1.03,-0.028,0.228,1.925,3.982,76,11.38,35.96
1.1,-0.044,0.29,1.925,3.982,76,11.38,35.96
1.16,-0.084,0.269,1.927,3.98,76,11.38,36.07
1.23,0.209,0.829,1.925,3.98,76,11.38,36.19
1.29,-0.058,0.331,1.924,3.978,76,11.38,36.3
1.35,-0.021,0.269,1.924,3.978,76,11.38,36.4
1.42,0.04,0.269,1.924,3.975,81,11.38,36.47
1.48,0.15,0.269,1.924,3.975,81,11.38,36.56
1.55,0.024,0.249,1.922,3.974,81,11.38,36.66
1.61,-0.053,0.249,1.922,3.973,81,11.38,36.77
1.68,-0.037,0.269,1.922,3.971,81,11.38,36.84
1.74,-0.009,0.249,1.922,3.97,81,11.37,36.89
1.81,-0.051,0.29,1.922,3.97,81,11.38,36.94
1.87,-0.084,0.331,1.919,3.968,81,11.38,36.98
1.94,0.225,0.767,1.919,3.966,81,11.38,36.98
2.0,-0.044,0.331,1.919,3.964,81,11.38,36.94
2.06,-0.016,0.249,1.919,3.963,81,11.38,36.88
2.13,0.055,0.228,1.918,3.96,85,11.38,36.8
2.19,0.149,0.311,1.917,3.96,85,11.38,36.73
2.26,-0.012,0.29,1.917,3.958,85,11.38,36.66
2.32,-0.052,0.249,1.917,3.958,85,11.38,36.61
2.39,-0.037,0.228,1.917,3.955,85,11.38,36.52
2.45,-0.023,0.29,1.917,3.954,85,11.37,36.4
2.52,-0.038,0.29,1.914,3.953,85,11.37,36.29
2.58,-0.081,0.311,1.914,3.953,85,11.37,36.2
2.65,0.228,0.787,1.914,3.95,85,11.38,36.13
2.71,-0.047,0.249,1.914,3.949,85,11.37,36.05
2.77,-0.022,0.249,1.914,3.948,85,11.37,35.99
2.84,0.04,0.207,1.912,3.945,83,11.37,35.94
2.9,0.159,0.249,1.912,3.943,83,11.38,35.92
2.97,0.035,0.228,1.912,3.943,83,11.37,35.92
3.03,-0.043,0.228,1.91,3.94,83,11.37,35.92
3.1,-0.031,0.249,1.909,3.94,83,11.37,35.9
3.16,-0.033,0.269,1.909,3.939,83,11.37,35.82
3.23,-0.005,0.228,1.909,3.936,83,11.37,35.73
3.29,-0.044,0.249,1.909,3.935,83,11.37,35.7
3.35,-0.073,0.311,1.909,3.933,83,11.37,35.66
3.42,0.246,0.746,1.907,3.933,83,11.37,35.65
3.48,-0.028,0.29,1.907,3.93,83,11.37,35.62
3.55,-0.003,0.249,1.907,3.929,83,11.37,35.59
3.61,0.066,0.249,1.907,3.928,78,11.37,35.58
3.68,0.175,0.249,1.904,3.926,78,11.37,35.57
3.74,0.016,0.29,1.904,3.926,78,11.37,35.55
3.81,-0.035,0.207,1.904,3.925,78,11.37,35.53
