Time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
0.0,0.071,0.207,2.471,2.628,78,9.65,45.4
0.06,0.045,0.228,2.471,2.628,78,9.63,45.14
0.13,0.057,0.186,2.471,2.628,78,9.63,44.86
0.19,0.067,0.207,2.471,2.628,78,9.63,44.53
0.26,0.084,0.207,2.471,2.628,78,9.63,44.26
0.32,0.151,0.249,2.471,2.628,78,9.63,44.06
0.39,0.074,0.207,2.471,2.628,78,9.63,43.93
0.45,0.132,0.29,2.471,2.628,78,9.65,43.8
0.52,0.362,0.58,2.471,2.628,78,9.63,43.62
0.58,0.162,0.207,2.471,2.628,78,9.63,43.47
0.65,0.245,0.207,2.471,2.628,78,9.63,43.35
0.71,0.29659482758620687,0.228,2.471,2.628,78,9.63,43.25
0.77,0.321,0.207,2.471,2.628,78,9.65,43.15
0.84,0.071,0.249,2.471,2.628,78,9.63,43.04
0.9,0.063,0.228,2.471,2.628,78,9.63,42.99
0.97,0.051,0.207,2.47,2.628,78,9.63,42.92
1.03,0.036,0.186,2.471,2.628,78,9.65,42.84
1.1,0.029,0.207,2.47,2.628,78,9.65,42.8
1.16,0.059,0.186,2.469,2.628,78,9.63,42.8
1.23,0.102,0.373,2.469,2.628,78,9.63,42.86
1.29,0.315,0.622,2.469,2.628,78,9.63,43.0
1.35,0.113,0.539,2.469,2.628,78,9.63,43.23
1.42,-0.004,0.186,2.469,2.628,78,9.65,43.53
1.48,0.067,0.186,2.469,2.628,78,9.63,43.85
1.55,0.232,0.228,2.469,2.626,78,9.65,44.44
1.61,0.072,0.186,2.469,2.626,78,9.65,44.48
1.68,-0.154,0.145,2.469,2.625,78,9.65,44.71
1.74,-0.162,0.207,2.469,2.626,78,9.65,44.94
1.81,-0.156,0.186,2.469,2.625,78,9.65,45.06
1.87,-0.137,0.207,2.469,2.626,78,9.65,45.24
1.94,-0.105,0.166,2.469,2.625,78,9.65,45.46
2.0,-0.182,0.186,2.467,2.626,78,9.65,45.7
2.06,0.135,0.394,2.466,2.625,78,9.65,45.94
2.13,-0.114,0.394,2.466,2.625,78,9.65,46.12
2.19,-0.06,0.186,2.466,2.625,78,9.65,46.23
2.26,0.041,0.186,2.466,2.625,78,9.63,46.31
2.32,0.21,0.207,2.466,2.625,78,9.63,46.37
2.39,0.002,0.186,2.466,2.625,78,9.63,46.37
